"group","indval","pvalue","freq","tf_bin"
"Palma",0.457669916000954,0.015,56,"V97"
"Palma",0.45739585279541,0.018,67,"V2781"
"Palma",0.45723890437567,0.007,56,"V446"
"Palma",0.456691631500162,0.008,53,"V328"
"Palma",0.456603990176931,0.012,68,"V2751"
"Palma",0.456261511483896,0.009,59,"V2785"
"Palma",0.45625351899878,0.009,57,"V2423"
"Palma",0.455607782612652,0.009,72,"V2649"
"Palma",0.455569440025501,0.012,82,"V533"
"Palma",0.455347787302505,0.007,84,"V21"
"Palma",0.455125239313111,0.009,58,"V203"
"Palma",0.455044650494335,0.016,56,"V599"
"Palma",0.454860417301896,0.008,61,"V2672"
"Palma",0.454550214527732,0.005,61,"V2763"
"Palma",0.453985525351047,0.006,57,"V321"
"Palma",0.453896462542019,0.01,63,"V3009"
"Palma",0.453838055315271,0.007,60,"V2908"
"Palma",0.4535119425962,0.006,54,"V480"
"Palma",0.453230678806462,0.021,63,"V2659"
"Palma",0.453003203231732,0.011,56,"V214"
"Palma",0.452647970652051,0.015,64,"V2755"
"Palma",0.452324431289582,0.011,67,"V2771"
"Palma",0.452184716765931,0.008,72,"V2523"
"Palma",0.452146266775631,0.009,61,"V3030"
"Palma",0.452118387639071,0.015,41,"V1453"
"Palma",0.452004965281013,0.017,66,"V2767"
"Palma",0.451907184485579,0.01,53,"V199"
"Palma",0.451272808246297,0.009,62,"V88"
"Palma",0.451202663770163,0.013,51,"V336"
"Palma",0.450747632842457,0.01,64,"V2770"
"Palma",0.450505747529722,0.009,53,"V83"
"Palma",0.450499898846956,0.013,84,"V277"
"Palma",0.450449016890122,0.037,78,"V682"
"Palma",0.450332121774416,0.009,54,"V325"
"Palma",0.450080193490899,0.006,62,"V3034"
"Palma",0.449895128247867,0.014,59,"V464"
"Palma",0.44944584300303,0.007,55,"V205"
"Palma",0.44919089838624,0.01,59,"V3023"
"Palma",0.44916552050231,0.006,57,"V241"
"Palma",0.449053167743277,0.013,57,"V2776"
"Palma",0.448672683942393,0.012,56,"V209"
"Palma",0.448592573524725,0.007,31,"V2018"
"Palma",0.448050587898151,0.007,38,"V2036"
"Palma",0.447491953316681,0.013,68,"V2683"
"Palma",0.447044094602692,0.009,58,"V377"
"Palma",0.446518920714252,0.005,51,"V335"
"Palma",0.446033042599287,0.017,73,"V2514"
"Palma",0.446010783294841,0.014,62,"V2628"
"Palma",0.445688501412391,0.012,66,"V2768"
"Palma",0.4456744514497,0.017,65,"V2777"
"Palma",0.445291875814606,0.009,56,"V461"
"Palma",0.444891425689068,0.016,63,"V2658"
"Palma",0.444872896676293,0.016,61,"V2546"
"Palma",0.444696910875608,0.007,49,"V595"
"Palma",0.444572733272505,0.009,54,"V604"
"Palma",0.444462565986448,0.007,52,"V610"
"Palma",0.444406412918956,0.01,57,"V2374"
"Palma",0.44420571395316,0.01,54,"V373"
"Palma",0.44416965846344,0.015,61,"V90"
"Palma",0.444052727869258,0.024,66,"V65"
"Palma",0.444028672917153,0.019,69,"V2652"
"Palma",0.443865992217486,0.017,62,"V2894"
"Palma",0.443817814903457,0.013,65,"V2501"
"Palma",0.443699797168055,0.026,65,"V66"
"Palma",0.443434841724936,0.002,88,"V42"
"Palma",0.442989760714835,0.018,70,"V2530"
