sensor_name,ID_MUEST_PT,TASA_MUEST,RES_BITS,MICROFONO,REF_GRAB,FECHA_INI,FECHA_FIN,HORA_INI,HORA_FIN,NUM_GRAB,TASA_GRAB,ESTACIONAL,ALTURA,GEOFONIA,ANTROPOFONIA,BIOFONIA,ACI_Q25,ACI_Q50,ACI_Q75,ADI_Q25,ADI_Q50,ADI_Q75,NDSI_Q25,NDSI_Q50,NDSI_Q75,BIO_Q25,BIO_Q50,BIO_Q75,AEI_Q25,AEI_Q50,AEI_Q75,NP_Q25,NP_Q50,NP_Q75,SC_Q25,SC_Q50,SC_Q75,HF_Q25,HF_Q50,HF_Q75,HT_Q25,HT_Q50,HT_Q75,ASU
G062,ANH_209,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-23,2022-04-11,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,16.667,83.333,310.51528049046965,318.9461006588135,328.7779173199242,3.0468751916376906,3.0609457309469175,3.0727215717100353,0.7690204842979009,0.9654108077624584,0.9916056924708879,25.379457696774246,41.5246680910559,56.69501408825099,0.6180029936726867,0.7478751141902475,0.812715470134676,9.0,31.0,61.0,0.03213551185803047,0.06243723106049675,0.4559000399448638,0.6444608444136559,0.8080345824779889,0.8404794722985293,0.9388121547934228,0.9749888934180453,0.9895178448067289,0.6949869791666666
G063,ANH_338,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-27,2022-04-15,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,33.333,83.333,304.01192987847526,307.5903829244984,313.4839894834562,3.0337350792347184,3.044392584750556,3.056024977910178,0.5427645902558011,0.9060645758496454,0.9779710080205273,21.879387406102673,46.04814545233393,60.97207629661038,0.7037425514302227,0.7708751131458063,0.8071624992207471,11.0,27.0,45.0,0.00823633374327075,0.049185937659790346,0.18272043752299885,0.7556137791682879,0.8046293170566954,0.8392935210735418,0.932295277220451,0.9684312560009578,0.9835500012093962,0.6223958333333334
G064,ANH_215,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-26,2022-04-14,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,16.667,83.333,305.360011630526,310.0969023286792,319.0307551154868,3.0135109781191325,3.03114471858869,3.0453020744270223,0.5058418755338201,0.7293878249680266,0.8824896565683406,13.688517676627686,25.960599703327006,60.26620081054418,0.681346932321724,0.7335224576777382,0.79860654079666,3.0,22.0,34.0,0.00033607877791435,0.02960858403761285,0.07020528338564617,0.709185060780871,0.7659995100781019,0.8484248877817407,0.9334985537953923,0.972289557534624,0.9836699075871809,0.2965494791666667
G065,ANH_210,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-04-01,2022-04-20,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,16.667,100.0,307.3189665936832,315.2985276058512,331.5213068735606,3.0308141515294813,3.043573275026135,3.0566047079228493,0.9038753474624537,0.9800726457378082,0.9943157646304254,37.30284297582654,55.15529593500273,72.92255728752019,0.7087826031493665,0.7634464340462674,0.7923869075043932,21.0,44.0,59.0,0.04382156970203925,0.12580709165554416,0.3747038005309083,0.7693079193761192,0.8065440905575462,0.8329708766092789,0.9199884372309675,0.9576337860590334,0.9848561525410436,0.7161458333333334
G066,ANH_275,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-23,2022-04-11,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,16.667,83.333,304.873399253295,309.49624283262676,315.67364305918113,3.0322616283822934,3.0449780577443386,3.0564488697909353,0.6644261886929149,0.8171536272702857,0.931827171845097,16.88767736632418,27.981423356625854,70.65046184136703,0.7282250663572329,0.7919733073892257,0.8350463975239397,9.0,29.0,53.0,0.0017428896831244252,0.023866400600658852,0.1414094068843268,0.8060275900951116,0.8602866414292256,0.9067098116925101,0.8763310532465505,0.9387446851710959,0.9738213405971357,0.4602864583333333
G068,ANH_106,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-25,2022-04-13,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,50.0,25.0,50.0,299.778979815076,300.1391499544385,300.5278006970689,3.048980551090901,3.052352886233896,3.0646998589029404,-0.676310720073089,-0.5736812063296954,-0.06452261016369712,6.890006584020293,12.94837232476658,16.234109723403936,0.6241135358382077,0.6477629270256983,0.751631100113075,0.0,1.0,1.0,0.0,0.0,0.0,0.628522297958285,0.6525344940868372,0.7613183958027532,0.9924597425687339,0.993084959286926,0.9939013744801635,0.014322916666666666
G069,ANH_225,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-24,2022-04-12,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,33.333,100.0,303.9151717446924,308.5127772117181,317.417867537373,3.030949475477117,3.0439646132786633,3.0548251678556917,0.674144691937619,0.9365434290162318,0.9755800387367995,23.32183361720991,44.66779382846033,71.69311014796142,0.5560463534401302,0.6760015620815949,0.7948116336719504,6.0,18.0,39.0,0.020877309831418625,0.06181882862779335,0.13732030274186086,0.5679094245473977,0.713587691936278,0.8245853400957353,0.9569137820680501,0.9861163731420443,0.9912979935387662,0.7151692708333334
G070,ANH_160,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-20,2022-04-08,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,16.667,100.0,305.871486156727,312.8249614364142,318.1151663513732,3.0038185451385617,3.0365309468314137,3.0619136831268463,0.12545669826609698,0.44063111800412075,0.8963563597283369,20.026017238864547,44.2871899060336,56.99959471407833,0.6107929755243853,0.7320578519062968,0.7792337287552513,12.0,22.0,34.0,0.00743699943273045,0.0192967781014739,0.05575433296884735,0.6750307079808351,0.7843078242618473,0.819547318119118,0.8915496601858675,0.9572031239939036,0.9767236815889876,0.5305989583333334
G071,ANH_183,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-20,2022-04-08,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,33.333,100.0,304.2407833830997,308.5669466683589,314.56547332822424,3.0156050764325633,3.0370411253694445,3.056967590507839,0.5219189257010314,0.7276413169227869,0.8858751166564496,14.55369085114336,37.25326072142143,49.76054135521481,0.6186517055653062,0.6973811588200515,0.7725704391617737,6.0,16.0,30.0,0.0017789449486354,0.0146026010487056,0.02837177917220605,0.670130837653835,0.7529581806975463,0.8407448998234439,0.911426593442245,0.9566419279852492,0.9760980621093013,0.2890625
G072,ANH_189,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-22,2022-04-10,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,0.0,83.333,304.07172850620185,308.6637783854036,317.9110227932689,3.0274853356163733,3.0431891861150615,3.0578926394591983,0.293744751677866,0.469663011813481,0.7386375303850178,10.31641941221623,20.015833408367385,48.112666675396056,0.615741585904227,0.6879248547041815,0.8023874879886927,2.0,13.0,24.0,0.00012914340555745,0.011234383699698501,0.03303448981143745,0.6588702165633264,0.7596528298131353,0.8924355456939274,0.9004783851596841,0.9536229024740472,0.9802650155983736,0.22200520833333334
G074,ANH_213,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-04-01,2022-04-20,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,16.667,100.0,310.3633994162639,318.8386706501711,332.03514734605073,3.041600337619464,3.061594278920187,3.0733335664962245,0.8625154889385338,0.9641777253461727,0.9901106836826458,27.00570151421272,39.589203755798714,49.59480499940081,0.7241119516331067,0.7771952453834235,0.810931167301176,13.0,35.0,56.25,0.027243358620092823,0.1017164928584352,0.43069216495043594,0.7632896089345464,0.8066543405945085,0.8416312242571204,0.9448640386541811,0.9727900482152361,0.9886131473179418,0.7822265625
G075,ANH_088,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-04-01,2022-04-20,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,0.0,83.333,302.15716753545325,305.4073598314303,310.74786426036945,3.0263421816379155,3.0367031319422964,3.0524710980727487,0.8852504315041166,0.9596611573309213,0.9851900566817244,46.64878749834435,80.42221841281979,93.05236246534412,0.7193747214641988,0.7531182352579446,0.7890909664903507,15.75,31.0,46.0,0.03844693145653653,0.0982875278499611,0.21333223200885953,0.743225710469176,0.7731018114155015,0.8180637628806804,0.9623514920041585,0.980280562774497,0.9884258771784842,0.4856770833333333
G076,ANH_240,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-23,2022-04-11,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,0.0,83.333,306.3441477074104,308.95405668004906,313.7892827646649,3.0278782575216256,3.045531516207195,3.063878246815281,0.46002124466151234,0.6506865753640881,0.7901318572004531,18.052354707215365,33.52165275582523,79.37845744949381,0.6845539557368392,0.7412092391969435,0.8048887660358806,6.0,19.0,36.0,0.0010497545182709999,0.0291295952982185,0.07972955491632117,0.7192582914102729,0.7892147149761148,0.8838494908522785,0.9127767694719463,0.96558641674403,0.9836003519173085,0.4108072916666667
G077,ANH_166,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-25,2022-04-13,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,0.0,100.0,305.21382480680154,312.9873961164387,320.74340665725504,2.942722337980097,3.0322119722474428,3.043038194792487,0.5188721279715595,0.8878549315444138,0.9590678254098347,37.00364100943327,52.30246899786399,61.01700391755334,0.6129290510943453,0.6720264582323621,0.7624610133354168,13.0,20.0,35.0,0.027164255552729374,0.0782788221422159,0.12155409994257373,0.6251680524425645,0.6880462740222768,0.7779138940940447,0.9629704015947367,0.9904155639682792,0.9934701349632211,0.5641276041666666
G078,ANH_279,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-27,2022-04-15,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,16.667,83.333,302.1010397233223,312.3185023001033,338.3975048596398,3.0473418436393254,3.06386717853713,3.0755048981047235,0.4691365535767281,0.7924339168093559,0.9444524458691517,7.290780355011508,19.72943407722245,41.879092732825,0.6568280484763536,0.7668252312763729,0.8254102972545205,1.0,4.0,26.0,8.740670426903084e-07,0.0013679149218102501,0.0348298235171234,0.744994966275274,0.816122069202544,0.8805101861234553,0.9187825860381615,0.9700746883593263,0.9873769069920636,0.404296875
G079,ANH_227,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-27,2022-04-15,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,33.333,0.0,83.333,303.3472438012475,306.16341001882324,313.142297866262,3.046652116661879,3.0573597146752114,3.0712413523631477,0.8640523548954215,0.9743851425980273,0.9964488218621437,14.889090666943005,31.34087025415291,68.46739750084458,0.7750441645624002,0.8002073844789347,0.8314731216285804,5.0,18.0,45.0,0.002343592258213375,0.0337520988534862,0.4166161892949513,0.7976732117246155,0.8217941399731579,0.8539298725169024,0.9573894075329804,0.9785627724948962,0.9893375541071391,0.5823567708333334
G080,ANH_253,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-23,2022-04-11,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,16.667,0.0,100.0,310.1123970120086,316.6285233785919,324.0203966696663,3.009386630643101,3.0335481322888356,3.0548240464699687,0.8700385150754731,0.9470678674049229,0.9740291155561486,26.9183730359657,42.387871326683275,67.05190656555351,0.6659742474683066,0.7343680155877955,0.7755751133765278,13.0,33.0,50.0,0.01002380084557245,0.0593976629195412,0.10349259708918188,0.7272191353493953,0.782213761855401,0.8270367450201339,0.9083958129631771,0.9406413803443043,0.9677596563987722,0.6009114583333334
G081,ANH_212,192000.0,16.0,Audiomoth v1.20,Audiomoth v1.20,2022-03-28,2022-04-16,00:00:00,23:30:00,960.0,60 segundos cada 1800 segundos,Aguas bajas T2,1.5,0.0,0.0,100.0,307.03417665950565,314.5686238853416,327.6500105476205,3.050299032093522,3.0648878410750378,3.075717058183308,0.9282799821177472,0.984328939712142,0.994142233863942,27.415858733236607,47.34711406394619,60.39862741963584,0.6816005758222405,0.7821623196228691,0.820960006482443,9.0,32.0,58.0,0.027072697030007548,0.0950220133784701,0.4230189488994185,0.7157266962347215,0.832460753020118,0.8568875502949953,0.9384950404748228,0.9678216152381679,0.9888788800711719,0.7718098958333334
