fname,num_detections
G017_20211110_190000.WAV,12
G017_20211110_193000.WAV,11
G017_20211110_200000.WAV,12
G017_20211110_203000.WAV,12
G018_20211108_180000.WAV,8
G018_20211108_193000.WAV,1
G018_20211109_180000.WAV,2
G018_20211109_190000.WAV,4
G018_20211109_200000.WAV,1
G018_20211110_050000.WAV,7
G018_20211110_053000.WAV,1
G018_20211110_180000.WAV,9
G018_20211110_183000.WAV,2
G018_20211110_193000.WAV,3
G018_20211110_200000.WAV,1
G018_20211111_050000.WAV,8
G018_20211111_180000.WAV,11
G018_20211111_183000.WAV,2
G018_20211111_193000.WAV,1
G018_20211111_203000.WAV,2
G018_20211112_050000.WAV,9
G018_20211112_180000.WAV,11
G018_20211112_203000.WAV,1
G019_20211112_050000.WAV,4
G019_20211112_053000.WAV,5
G019_20211112_060000.WAV,4
G019_20211112_180000.WAV,2
G019_20211113_050000.WAV,2
G019_20211113_053000.WAV,12
G019_20211113_060000.WAV,1
G019_20211114_050000.WAV,12
G019_20211114_053000.WAV,12
G019_20211114_060000.WAV,2
G019_20211114_063000.WAV,2
G019_20211114_180000.WAV,4
G019_20211114_203000.WAV,1
G019_20211115_053000.WAV,8
G019_20211115_060000.WAV,1
G019_20211115_073000.WAV,2
G019_20211116_053000.WAV,10
G019_20211116_180000.WAV,1
G020_20211105_180000.WAV,4
G020_20211106_050000.WAV,10
G020_20211106_080000.WAV,2
G020_20211106_083000.WAV,2
G020_20211106_180000.WAV,1
G020_20211107_050000.WAV,9
G020_20211107_180000.WAV,6
G020_20211108_180000.WAV,1
G020_20211108_200000.WAV,2
G020_20211109_050000.WAV,1
G021_20211110_050000.WAV,8
G021_20211110_053000.WAV,9
G021_20211110_180000.WAV,12
G021_20211110_183000.WAV,4
G021_20211110_190000.WAV,4
G021_20211110_193000.WAV,2
G021_20211110_200000.WAV,1
G021_20211110_203000.WAV,1
G021_20211111_050000.WAV,6
G021_20211111_053000.WAV,11
G021_20211111_060000.WAV,4
G021_20211111_180000.WAV,11
G021_20211111_183000.WAV,9
G021_20211111_190000.WAV,1
G021_20211111_193000.WAV,1
G021_20211111_200000.WAV,3
G021_20211112_050000.WAV,8
G021_20211112_053000.WAV,5
G021_20211112_180000.WAV,12
G021_20211112_183000.WAV,4
G021_20211112_190000.WAV,4
G021_20211112_193000.WAV,3
G021_20211112_200000.WAV,1
G021_20211112_203000.WAV,7
G021_20211113_050000.WAV,7
G021_20211113_053000.WAV,10
G021_20211113_060000.WAV,5
G021_20211113_180000.WAV,11
G021_20211113_183000.WAV,3
G021_20211113_190000.WAV,1
G021_20211113_193000.WAV,1
G021_20211114_050000.WAV,6
G021_20211114_053000.WAV,10
G021_20211114_060000.WAV,8
G021_20211114_070000.WAV,1
G021_20211114_083000.WAV,1
G021_20211114_180000.WAV,12
G021_20211114_183000.WAV,7
G021_20211114_190000.WAV,6
G021_20211114_193000.WAV,4
G021_20211114_200000.WAV,2
G022_20211108_083000.WAV,1
G022_20211108_170000.WAV,9
G022_20211108_173000.WAV,6
G022_20211108_180000.WAV,12
G022_20211108_183000.WAV,5
G022_20211108_190000.WAV,1
G022_20211108_193000.WAV,3
G022_20211108_203000.WAV,1
G022_20211109_170000.WAV,10
G022_20211109_173000.WAV,8
G022_20211109_180000.WAV,12
G022_20211109_183000.WAV,2
G022_20211109_190000.WAV,8
G022_20211109_193000.WAV,3
G022_20211109_200000.WAV,5
G022_20211110_050000.WAV,2
G022_20211110_053000.WAV,3
G022_20211110_060000.WAV,11
G022_20211110_063000.WAV,12
G022_20211110_070000.WAV,11
G022_20211110_073000.WAV,11
G022_20211110_080000.WAV,12
G022_20211110_083000.WAV,12
G022_20211110_170000.WAV,7
G022_20211110_173000.WAV,9
G022_20211110_180000.WAV,9
G022_20211110_183000.WAV,1
G022_20211110_190000.WAV,7
G022_20211110_200000.WAV,4
G022_20211110_203000.WAV,3
G022_20211111_050000.WAV,3
G022_20211111_053000.WAV,11
G022_20211111_060000.WAV,9
