"group","indval","pvalue","freq","tf_bin"
"Palma",0.535484415531586,0.001,99,"X451"
"Palma",0.535122096587861,0.001,117,"X2891"
"Palma",0.534953700246985,0.001,122,"X2781"
"Palma",0.533668479840194,0.001,125,"X2628"
"Palma",0.532325036261712,0.001,113,"X223"
"Palma",0.529817316893293,0.001,126,"X2906"
"Palma",0.529410307655396,0.001,116,"X3038"
"Palma",0.529211302402364,0.001,91,"X604"
"Palma",0.528806488622509,0.001,112,"X350"
"Palma",0.528738021194106,0.001,93,"X578"
"Palma",0.528626630827638,0.001,116,"X221"
"Palma",0.528448883424737,0.001,111,"X2761"
"Palma",0.527830492315671,0.001,115,"X3037"
"Palma",0.526896606618773,0.001,123,"X217"
"Palma",0.52673286022478,0.001,119,"X2759"
"Palma",0.526137917700092,0.001,103,"X351"
"Palma",0.525269272946864,0.001,105,"X3013"
"Palma",0.524012852455752,0.001,110,"X3015"
"Palma",0.523557832847748,0.001,119,"X3036"
"Palma",0.523359700920163,0.001,105,"X199"
"Palma",0.521987974098199,0.001,112,"X3019"
"Palma",0.521762246749263,0.001,114,"X92"
"Palma",0.521449510574481,0.001,105,"X195"
"Palma",0.520359507253144,0.001,126,"X2503"
"Palma",0.520350474969217,0.001,111,"X476"
"Palma",0.519642857549217,0.001,111,"X215"
"Palma",0.519592555164675,0.001,100,"X454"
"Palma",0.519505588004986,0.001,105,"X197"
"Palma",0.519256486504751,0.001,104,"X477"
"Palma",0.518445469516222,0.001,122,"X2631"
"Palma",0.518129104056596,0.001,117,"X76"
"Palma",0.517505321273465,0.001,121,"X2880"
"Palma",0.517051772646757,0.001,107,"X458"
"Palma",0.516968854917984,0.001,110,"X3014"
"Palma",0.516095602061215,0.001,115,"X2630"
"Palma",0.515994656241417,0.001,107,"X198"
"Palma",0.514849868572717,0.001,100,"X327"
"Palma",0.514841506200178,0.001,130,"X2624"
"Palma",0.514686719462997,0.001,108,"X318"
"Palma",0.513237497710659,0.001,112,"X3039"
"Palma",0.512018392503648,0.001,112,"X2883"
"Palma",0.511522788527908,0.001,116,"X81"
"Palma",0.51106893354977,0.001,112,"X2677"
"Palma",0.510706292547245,0.001,105,"X3017"
"Palma",0.50998375417668,0.001,116,"X2782"
"Palma",0.509569077928469,0.001,116,"X70"
"Palma",0.50954931367032,0.001,120,"X2892"
"Palma",0.50904800382553,0.001,98,"X606"
"Palma",0.508789404263583,0.001,113,"X3026"
"Palma",0.507954301896679,0.001,132,"X2526"
"Palma",0.507844909410597,0.001,116,"X191"
