fname,ALTVOZ,ANIDOM,AVEVOC,FLUAGU,HERPET,HERRAM,INDETE,INSECT,LLUVIA,MAMIFE,MURCIE,PULSOS,SENSAT,SONIND,SONVIE,TRAMOT,VOZHUM
G018_20220415_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G019_20220327_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G019_20220401_060000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G019_20220403_200000.WAV,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
G019_20220419_053000.WAV,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
G019_20220422_063000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G019_20220422_173000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G020_20220326_193000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G020_20220331_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G020_20220402_200000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
G020_20220418_053000.WAV,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
G020_20220421_063000.WAV,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
G020_20220421_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G021_20220319_193000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G021_20220324_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G021_20220326_200000.WAV,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
G021_20220411_053000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G021_20220414_063000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G021_20220414_173000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G022_20220320_193000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G022_20220325_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G022_20220327_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G022_20220412_053000.WAV,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
G022_20220415_063000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G022_20220415_173000.WAV,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
G024_20220323_193000.WAV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
G024_20220327_080000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20220329_173000.WAV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G024_20220329_200000.WAV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
G024_20220405_173000.WAV,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
G024_20220418_053000.WAV,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
G025_20220329_193000.WAV,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
G025_20220403_060000.WAV,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G025_20220405_200000.WAV,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
